"Study_id","train_layer","test_layer","threshold","TP","FN","TN","FP","specificity","precision","recall","f1_score","balanced_accuracy","mcc","mse","rmse"
"1_Bartomeus",1,7,0.5,6.06,0.94,2.04,4.96,0.291428571428571,0.55559102009102,0.865714285714286,0.67230640326306,0.578571428571429,0.197792672487674,9.45077329436432,2.61971683132926
"1_Bartomeus",1,7,0.6,4.72,2.28,4.86,2.14,0.694285714285714,0.697401154401154,0.674285714285714,0.673017795929561,0.684285714285714,0.381114261508943,9.45077329436432,2.61971683132926
"1_Bartomeus",1,7,0.7,1.86,5.14,5.82,1.18,0.831428571428571,0.623593073593074,0.265714285714286,0.425101565101565,0.548571428571429,0.131322710721914,9.45077329436432,2.61971683132926
"1_Bartomeus",1,7,0.8,0.38,6.62,6.42,0.58,0.917142857142857,0.398989898989899,0.0542857142857143,0.244444444444444,0.485714285714286,-0.0689106753118054,9.45077329436432,2.61971683132926
"1_Bartomeus",1,7,0.9,0.28,6.72,7,0,1,1,0.04,0.264957264957265,0.52,0.287419189831941,9.45077329436432,2.61971683132926
"1_Bartomeus",1,7,1,0,7,7,0,1,NA,0,NA,0.5,NA,9.45077329436432,2.61971683132926
"1_Bartomeus",1,8,0,7,0,0,7,0,0.5,1,0.666666666666667,0.5,NA,4.08876764161111,1.83285132734529
"1_Bartomeus",1,8,0.1,7,0,0,7,0,0.5,1,0.666666666666667,0.5,NA,4.08876764161111,1.83285132734529
"1_Bartomeus",1,8,0.2,7,0,0,7,0,0.5,1,0.666666666666667,0.5,NA,4.08876764161111,1.83285132734529
"1_Bartomeus",1,8,0.3,7,0,0,7,0,0.5,1,0.666666666666667,0.5,NA,4.08876764161111,1.83285132734529
"1_Bartomeus",1,8,0.4,7,0,0,7,0,0.5,1,0.666666666666667,0.5,NA,4.08876764161111,1.83285132734529
"1_Bartomeus",1,8,0.5,6.58,0.42,1.82,5.18,0.26,0.562367521367521,0.94,0.70224613003096,0.6,0.278066709747337,4.08876764161111,1.83285132734529
"1_Bartomeus",1,8,0.6,3.82,3.18,4.34,2.66,0.62,0.601349206349206,0.545714285714286,0.559250275867923,0.582857142857143,0.171690817577543,4.08876764161111,1.83285132734529
"1_Bartomeus",1,8,0.7,1.96,5.04,5.54,1.46,0.791428571428571,0.562666666666667,0.28,0.397594750928084,0.535714285714286,0.0790677276069644,4.08876764161111,1.83285132734529
"1_Bartomeus",1,8,0.8,0.42,6.58,6.62,0.38,0.945714285714286,0.544871794871795,0.06,0.252923976608187,0.502857142857143,0.0236458913376037,4.08876764161111,1.83285132734529
"1_Bartomeus",1,8,0.9,0,7,6.98,0.02,0.997142857142857,0,0,NA,0.498571428571429,-0.277350098112615,4.08876764161111,1.83285132734529
"1_Bartomeus",1,8,1,0,7,7,0,1,NA,0,NA,0.5,NA,4.08876764161111,1.83285132734529
"1_Bartomeus",1,9,0,15,0,0,15,0,0.5,1,0.666666666666667,0.5,NA,3.94625226439502,1.93586239317216
"1_Bartomeus",1,9,0.1,15,0,0,15,0,0.5,1,0.666666666666667,0.5,NA,3.94625226439502,1.93586239317216
"1_Bartomeus",1,9,0.2,15,0,0,15,0,0.5,1,0.666666666666667,0.5,NA,3.94625226439502,1.93586239317216
"1_Bartomeus",1,9,0.3,15,0,0,15,0,0.5,1,0.666666666666667,0.5,NA,3.94625226439502,1.93586239317216
"1_Bartomeus",1,9,0.4,15,0,0,15,0,0.5,1,0.666666666666667,0.5,NA,3.94625226439502,1.93586239317216
"1_Bartomeus",1,9,0.5,13.76,1.24,4.16,10.84,0.277333333333333,0.561117871772295,0.917333333333333,0.695469170455289,0.597333333333333,0.252780499312837,3.94625226439502,1.93586239317216
"1_Bartomeus",1,9,0.6,9.64,5.36,9.78,5.22,0.652,0.651146591196901,0.642666666666667,0.643039242311277,0.647333333333333,0.298052410698525,3.94625226439502,1.93586239317216
"1_Bartomeus",1,9,0.7,4.78,10.22,13.26,1.74,0.884,0.742823953823954,0.318666666666667,0.434246759163572,0.601333333333333,0.247914131881765,3.94625226439502,1.93586239317216
"1_Bartomeus",1,9,0.8,0.48,14.52,14.82,0.18,0.988,0.711538461538462,0.032,0.145955882352941,0.51,0.0911120128803485,3.94625226439502,1.93586239317216
"1_Bartomeus",1,9,0.9,0,15,15,0,1,NA,0,NA,0.5,NA,3.94625226439502,1.93586239317216
"1_Bartomeus",1,9,1,0,15,15,0,1,NA,0,NA,0.5,NA,3.94625226439502,1.93586239317216
"1_Bartomeus",1,10,0,9,0,0,9,0,0.5,1,0.666666666666667,0.5,NA,2.6037939280369,1.53370824395979
"1_Bartomeus",1,10,0.1,9,0,0,9,0,0.5,1,0.666666666666667,0.5,NA,2.6037939280369,1.53370824395979
"1_Bartomeus",1,10,0.2,9,0,0,9,0,0.5,1,0.666666666666667,0.5,NA,2.6037939280369,1.53370824395979
"1_Bartomeus",1,10,0.3,9,0,0,9,0,0.5,1,0.666666666666667,0.5,NA,2.6037939280369,1.53370824395979
"1_Bartomeus",1,10,0.4,9,0,0,9,0,0.5,1,0.666666666666667,0.5,NA,2.6037939280369,1.53370824395979
"1_Bartomeus",1,10,0.5,7.98,1.02,2.68,6.32,0.297777777777778,0.560667905623788,0.886666666666667,0.685323172479694,0.592222222222222,0.226354005394233,2.6037939280369,1.53370824395979
"1_Bartomeus",1,10,0.6,4.28,4.72,6.28,2.72,0.697777777777778,0.616461871461871,0.475555555555556,0.52402217854385,0.586666666666667,0.182629380885237,2.6037939280369,1.53370824395979
"1_Bartomeus",1,10,0.7,2,7,7.76,1.24,0.862222222222222,0.675267249757046,0.222222222222222,0.324715420633788,0.542222222222222,0.128652981971158,2.6037939280369,1.53370824395979
"1_Bartomeus",1,10,0.8,0.24,8.76,8.8,0.2,0.977777777777778,0.511111111111111,0.0266666666666667,0.247138047138047,0.502222222222222,0.0173392642704618,2.6037939280369,1.53370824395979
"1_Bartomeus",1,10,0.9,0,9,9,0,1,NA,0,NA,0.5,NA,2.6037939280369,1.53370824395979
"1_Bartomeus",1,10,1,0,9,9,0,1,NA,0,NA,0.5,NA,2.6037939280369,1.53370824395979
"1_Bartomeus",1,11,0,11,0,0,11,0,0.5,1,0.666666666666667,0.5,NA,2.04729792415804,1.37810585970589
"1_Bartomeus",1,11,0.1,11,0,0,11,0,0.5,1,0.666666666666667,0.5,NA,2.04729792415804,1.37810585970589
"1_Bartomeus",1,11,0.2,11,0,0,11,0,0.5,1,0.666666666666667,0.5,NA,2.04729792415804,1.37810585970589
"1_Bartomeus",1,11,0.3,11,0,0,11,0,0.5,1,0.666666666666667,0.5,NA,2.04729792415804,1.37810585970589
"1_Bartomeus",1,11,0.4,11,0,0,11,0,0.5,1,0.666666666666667,0.5,NA,2.04729792415804,1.37810585970589
"1_Bartomeus",1,11,0.5,9.74,1.26,2.38,8.62,0.216363636363636,0.532690009337068,0.885454545454545,0.66353958773892,0.550909090909091,0.136232542591216,2.04729792415804,1.37810585970589
"1_Bartomeus",1,11,0.6,5.76,5.24,6.94,4.06,0.630909090909091,0.591919608169608,0.523636363636364,0.54638998743986,0.577272727272727,0.15938880099805,2.04729792415804,1.37810585970589
"1_Bartomeus",1,11,0.7,2.58,8.42,9.82,1.18,0.892727272727273,0.706381600259151,0.234545454545455,0.35252703111159,0.563636363636364,0.177076561021844,2.04729792415804,1.37810585970589
"1_Bartomeus",1,11,0.8,0.6,10.4,10.88,0.12,0.989090909090909,0.873563218390805,0.0545454545454545,0.180504680504681,0.521818181818182,0.171116206097513,2.04729792415804,1.37810585970589
"1_Bartomeus",1,11,0.9,0,11,10.98,0.02,0.998181818181818,0,0,NA,0.499090909090909,-0.218217890235992,2.04729792415804,1.37810585970589
"1_Bartomeus",1,11,1,0,11,11,0,1,NA,0,NA,0.5,NA,2.04729792415804,1.37810585970589
"1_Bartomeus",1,12,0,8,0,0,8,0,0.5,1,0.666666666666667,0.5,NA,2.76604421469371,1.56511773854666
"1_Bartomeus",1,12,0.1,8,0,0,8,0,0.5,1,0.666666666666667,0.5,NA,2.76604421469371,1.56511773854666
"1_Bartomeus",1,12,0.2,8,0,0,8,0,0.5,1,0.666666666666667,0.5,NA,2.76604421469371,1.56511773854666
"1_Bartomeus",1,12,0.3,8,0,0,8,0,0.5,1,0.666666666666667,0.5,NA,2.76604421469371,1.56511773854666
"1_Bartomeus",1,12,0.4,8,0,0,8,0,0.5,1,0.666666666666667,0.5,NA,2.76604421469371,1.56511773854666
"1_Bartomeus",1,12,0.5,6.52,1.48,3.14,4.86,0.3925,0.579352869352869,0.815,0.672609970831131,0.60375,0.226574495726101,2.76604421469371,1.56511773854666
"1_Bartomeus",1,12,0.6,2.98,5.02,6.1,1.9,0.7625,0.612809523809524,0.3725,0.466749325021384,0.5675,0.148832623747118,2.76604421469371,1.56511773854666
"1_Bartomeus",1,12,0.7,0.2,7.8,7.84,0.16,0.98,0.55952380952381,0.025,0.235016835016835,0.5025,0.0340025149250929,2.76604421469371,1.56511773854666
"1_Bartomeus",1,12,0.8,0,8,8,0,1,NA,0,NA,0.5,NA,2.76604421469371,1.56511773854666
"1_Bartomeus",1,12,0.9,0,8,8,0,1,NA,0,NA,0.5,NA,2.76604421469371,1.56511773854666
"1_Bartomeus",1,12,1,0,8,8,0,1,NA,0,NA,0.5,NA,2.76604421469371,1.56511773854666
"1_Bartomeus",2,1,0,7,0,0,7,0,0.5,1,0.666666666666667,0.5,NA,3.44154378972532,1.60983288206418
"1_Bartomeus",2,1,0.1,7,0,0,7,0,0.5,1,0.666666666666667,0.5,NA,3.44154378972532,1.60983288206418
"1_Bartomeus",2,1,0.2,7,0,0,7,0,0.5,1,0.666666666666667,0.5,NA,3.44154378972532,1.60983288206418
"1_Bartomeus",2,1,0.3,7,0,0,7,0,0.5,1,0.666666666666667,0.5,NA,3.44154378972532,1.60983288206418
"1_Bartomeus",2,1,0.4,7,0,0,7,0,0.5,1,0.666666666666667,0.5,NA,3.44154378972532,1.60983288206418
"1_Bartomeus",2,1,0.5,5.04,1.96,3.54,3.46,0.505714285714286,0.603090909090909,0.72,0.650065062388592,0.612857142857143,0.232794856593578,3.44154378972532,1.60983288206418
"1_Bartomeus",2,1,0.6,1.92,5.08,6.18,0.82,0.882857142857143,0.717513227513228,0.274285714285714,0.417484787939333,0.578571428571429,0.215298601031577,3.44154378972532,1.60983288206418
"1_Bartomeus",2,1,0.7,1,6,6.6,0.4,0.942857142857143,0.730769230769231,0.142857142857143,0.314025974025974,0.542857142857143,0.166452920543931,3.44154378972532,1.60983288206418
"1_Bartomeus",2,1,0.8,0.38,6.62,6.72,0.28,0.96,0.550724637681159,0.0542857142857143,0.273263888888889,0.507142857142857,0.043068445081888,3.44154378972532,1.60983288206418
"1_Bartomeus",2,1,0.9,0.04,6.96,7,0,1,1,0.00571428571428571,0.25,0.502857142857143,0.277350098112615,3.44154378972532,1.60983288206418
"1_Bartomeus",2,1,1,0,7,7,0,1,NA,0,NA,0.5,NA,3.44154378972532,1.60983288206418
"1_Bartomeus",2,2,0,7,0,0,7,0,0.5,1,0.666666666666667,0.5,NA,9.35735065212428,2.93969577549717
"1_Bartomeus",2,2,0.1,7,0,0,7,0,0.5,1,0.666666666666667,0.5,NA,9.35735065212428,2.93969577549717
"1_Bartomeus",2,2,0.2,7,0,0,7,0,0.5,1,0.666666666666667,0.5,NA,9.35735065212428,2.93969577549717
"1_Bartomeus",2,2,0.3,7,0,0,7,0,0.5,1,0.666666666666667,0.5,NA,9.35735065212428,2.93969577549717
"1_Bartomeus",2,2,0.4,7,0,0,7,0,0.5,1,0.666666666666667,0.5,NA,9.35735065212428,2.93969577549717
"1_Bartomeus",2,2,0.5,4.74,2.26,3.14,3.86,0.448571428571429,0.552670995670996,0.677142857142857,0.60203586609469,0.562857142857143,0.131852277633106,9.35735065212428,2.93969577549717
"1_Bartomeus",2,2,0.6,4.34,2.66,3.9,3.1,0.557142857142857,0.584515873015873,0.62,0.594235010087951,0.588571428571429,0.181339179191812,9.35735065212428,2.93969577549717
"1_Bartomeus",2,2,0.7,3.6,3.4,4.32,2.68,0.617142857142857,0.571563492063492,0.514285714285714,0.532587579087579,0.565714285714286,0.134258359593139,9.35735065212428,2.93969577549717
"1_Bartomeus",2,2,0.8,2.62,4.38,5.04,1.96,0.72,0.588063492063492,0.374285714285714,0.445716561216561,0.547142857142857,0.107130575338847,9.35735065212428,2.93969577549717
"1_Bartomeus",2,2,0.9,2.24,4.76,5.6,1.4,0.8,0.633333333333333,0.32,0.413993783993784,0.56,0.142671833335629,9.35735065212428,2.93969577549717
"1_Bartomeus",2,2,1,0,7,7,0,1,NA,0,NA,0.5,NA,9.35735065212428,2.93969577549717
"1_Bartomeus",2,3,0,6,0,0,6,0,0.5,1,0.666666666666667,0.5,NA,5.13323827857366,1.85780780406393
"1_Bartomeus",2,3,0.1,6,0,0,6,0,0.5,1,0.666666666666667,0.5,NA,5.13323827857366,1.85780780406393
"1_Bartomeus",2,3,0.2,6,0,0,6,0,0.5,1,0.666666666666667,0.5,NA,5.13323827857366,1.85780780406393
"1_Bartomeus",2,3,0.3,6,0,0,6,0,0.5,1,0.666666666666667,0.5,NA,5.13323827857366,1.85780780406393
